year,ws,plot,tree,history,species,sp_cd,dbh_cm,tr_ht_m,comments
2022,77,32,1352,1,? Oak,,17.9,15.6,
2022,77,32,1353,1,? Oak,,15.7,14.2,
2022,77,43,1325,1,? Oak,,23.1,15.8,
2022,77,43,1331,1,? Oak,,31.8,24.9,
2022,77,43,1334,1,? Oak,,16.1,10.3,
2022,77,43,1335,1,? Oak,,26.9,15.6,
2018,77,160,2984,3,Blackgum,693,,,
2018,77,160,2985,1,Blackgum,693,26.7,16.8,-
2018,77,166,177,1,Blackgum,693,9.7,13.5,
2018,77,166,195,1,Blackgum,693,14.6,17.1,
2018,77,166,200,1,Blackgum,693,9.1,8.4,broken top
2018,77,166,216,1,Blackgum,693,7.9,6.3,tallest point at bend
2018,77,166,217,1,Blackgum,693,21.0,12.6,
2018,77,166,233,1,Blackgum,693,8.2,5.1,broken top
2018,77,166,235,1,Blackgum,693,16.2,19.0,
2018,77,180,2820,2,Blackgum,693,19.8,15.3,DC=1
2018,77,180,2825,1,Blackgum,693,24.9,17.2,QA dbh=24.8;ht=16.9
2018,77,195,442,1,Blackgum,693,15.2,14.6,
2022,77,160,2984,3,Blackgum,693,,,
2022,77,160,2985,1,Blackgum,693,28.6,18.3,
2022,77,166,177,1,Blackgum,693,10.6,14.9,
2022,77,166,195,3,Blackgum,693,,,
2022,77,166,200,3,Blackgum,693,,,
2022,77,166,216,1,Blackgum,693,8.4,6.9,
2022,77,166,217,1,Blackgum,693,21.4,12.8,
2022,77,166,233,1,Blackgum,693,8.4,5.8,
2022,77,166,235,1,Blackgum,693,16.2,19.0,
2022,77,180,2820,3,Blackgum,693,,,
2022,77,180,2825,1,Blackgum,693,25.7,17.7,
2022,77,195,442,1,Blackgum,693,15.9,16.1,
2022,77,43,1324,1,Blackgum ?,,18.5,9.7,
1991,77,180,18,1,Laurel Oak,820,9.9,7.3,
2022,77,32,1343,1,Laurel Oak,820,13.3,11.3,
2022,77,32,1366,1,Laurel Oak,820,14.7,12.3,
2022,77,32,1368,1,Laurel Oak,820,11.8,11.0,
1991,77,32,2,1,Loblolly Pine,131,20.3,13.7,
1991,77,32,3,2,Loblolly Pine,131,30.5,10.7,
1991,77,40,1,1,Loblolly Pine,131,20.6,15.8,
1991,77,40,3,2,Loblolly Pine,131,39.1,7.6,
1991,77,40,5,3,Loblolly Pine,131,37.8,25.3,
1991,77,40,7,2,Loblolly Pine,131,10.2,13.7,
1991,77,40,8,2,Loblolly Pine,131,10.9,14.3,
1991,77,40,9,2,Loblolly Pine,131,12.2,14.3,
1991,77,40,10,1,Loblolly Pine,131,18.3,18.0,
1991,77,40,11,1,Loblolly Pine,131,36.6,23.8,
1991,77,40,12,2,Loblolly Pine,131,9.7,12.8,
1991,77,40,13,2,Loblolly Pine,131,8.6,11.0,
1991,77,40,14,1,Loblolly Pine,131,23.6,18.9,
1991,77,40,15,1,Loblolly Pine,131,15.2,17.4,
1991,77,40,18,2,Loblolly Pine,131,13.0,12.8,
1991,77,40,20,2,Loblolly Pine,131,29.5,9.4,
1991,77,43,1,1,Loblolly Pine,131,15.2,12.2,
1991,77,43,2,1,Loblolly Pine,131,15.2,9.1,
1991,77,43,3,1,Loblolly Pine,131,30.5,19.8,
1991,77,43,5,2,Loblolly Pine,131,25.4,18.3,
1991,77,43,6,2,Loblolly Pine,131,30.5,12.2,
1991,77,43,7,2,Loblolly Pine,131,15.2,6.1,
1991,77,43,11,1,Loblolly Pine,131,15.2,15.2,
1991,77,43,12,1,Loblolly Pine,131,25.4,15.2,
1991,77,63,1,1,Loblolly Pine,131,15.2,13.7,
1991,77,63,2,1,Loblolly Pine,131,15.2,9.1,
1991,77,80,1,1,Loblolly Pine,131,19.6,19.8,
1991,77,80,2,2,Loblolly Pine,131,9.4,9.8,
1991,77,80,3,3,Loblolly Pine,131,20.1,19.8,
1991,77,80,4,1,Loblolly Pine,131,19.6,18.0,
1991,77,80,5,2,Loblolly Pine,131,16.8,18.9,
1991,77,80,6,1,Loblolly Pine,131,16.3,18.6,
1991,77,80,7,3,Loblolly Pine,131,24.9,23.8,
1991,77,80,8,1,Loblolly Pine,131,19.1,18.6,
1991,77,80,9,1,Loblolly Pine,131,19.1,22.6,
1991,77,80,10,1,Loblolly Pine,131,15.0,19.5,
1991,77,80,11,1,Loblolly Pine,131,20.8,23.2,
1991,77,80,12,2,Loblolly Pine,131,12.2,14.3,
1991,77,80,13,2,Loblolly Pine,131,13.0,13.4,
1991,77,80,14,1,Loblolly Pine,131,15.0,20.4,
1991,77,80,15,2,Loblolly Pine,131,11.7,18.6,
1991,77,80,16,2,Loblolly Pine,131,9.9,18.3,
1991,77,80,17,2,Loblolly Pine,131,14.2,14.3,
1991,77,80,18,2,Loblolly Pine,131,10.9,12.2,
1991,77,80,19,1,Loblolly Pine,131,11.9,14.9,
1991,77,80,20,2,Loblolly Pine,131,13.2,8.5,
1991,77,80,21,2,Loblolly Pine,131,8.9,13.1,
1991,77,80,22,1,Loblolly Pine,131,16.3,16.2,
1991,77,80,23,1,Loblolly Pine,131,21.1,17.4,
1991,77,80,24,1,Loblolly Pine,131,15.0,17.1,
1991,77,80,25,1,Loblolly Pine,131,15.2,15.5,
1991,77,80,26,1,Loblolly Pine,131,17.3,15.2,
1991,77,80,27,2,Loblolly Pine,131,12.4,10.7,
1991,77,80,28,1,Loblolly Pine,131,11.7,13.4,
1991,77,80,29,2,Loblolly Pine,131,16.5,9.1,
1991,77,80,30,1,Loblolly Pine,131,14.7,13.1,
1991,77,80,31,3,Loblolly Pine,131,22.1,18.6,
1991,77,80,32,1,Loblolly Pine,131,20.8,18.3,
1991,77,80,33,1,Loblolly Pine,131,17.5,16.2,
1991,77,80,34,2,Loblolly Pine,131,11.2,18.3,
1991,77,80,35,1,Loblolly Pine,131,13.7,14.3,
1991,77,80,36,1,Loblolly Pine,131,14.5,13.4,
1991,77,80,37,2,Loblolly Pine,131,11.9,14.0,
1991,77,80,38,2,Loblolly Pine,131,18.3,8.8,
1991,77,80,39,2,Loblolly Pine,131,12.2,11.6,
1991,77,80,40,1,Loblolly Pine,131,18.5,14.9,
