year,ws,treatment,plot_type,plot,tree,azimuth,dis_pl_ctr_m,history,species,sp_cd,cr_dam,deg_lean,dbh_cm,tr_ht_m,comments
2022,77,Control,LL Conv.,32,1362,261,9.7,1,Loblolly Pine,131,0,0,8.1,8.9,
2022,77,Control,Hugo,120,2993,134,7.9,1,Loblolly Pine,131,0,20,8.3,9,
2022,77,Control,LL Conv.,32,1355,187,4.7,1,Loblolly Pine,131,0,5,8.5,10.6,
2022,77,Control,Hugo,120,2814,354,6.6,1,Blackgum,693,0,0,8.5,8.5,
2022,77,Control,LL Conv.,32,1370,331,10.4,1,Loblolly Pine,131,0,0,8.6,10.9,
2022,77,Control,Hugo,120,2808,276,7.2,1,Loblolly Pine,131,0,10,8.6,13.3,
2022,77,Control,LL Conv.,32,1357,200,7.2,1,Loblolly Pine,131,0,0,8.9,11.9,
2022,77,Control,LL Conv.,32,1342,62,9.8,1,Red Maple,316,0,0,9.3,12.9,
2022,77,Control,LL Conv.,32,1365,293,7.2,1,Loblolly Pine,131,0,0,9.7,11.9,
2022,77,Control,Hugo,120,2987,25,11.2,1,Blackgum,693,0,0,10.1,9.8,
2022,77,Control,LL Conv.,40,2512,240,9.1,1,Loblolly Pine,131,0,0,10.2,13.9,
2022,77,Control,LL Conv.,32,1350,153,4.8,1,Water Oak?,,0,0,10.5,11.8,
2022,77,Control,LL Conv.,32,1341,62,9.8,1,Red Maple,316,0,0,10.9,13.6,
2022,77,Control,LL Conv.,43,1326,16,8.3,1,Loblolly Pine,131,0,0,10.9,11.1,
2022,77,Control,LL Conv.,32,1348,120,8.9,1,Water Oak?,,0,15,11.1,11.1,meas ht 2x
2022,77,Control,LL Conv.,32,1367,304,2.3,1,Loblolly Pine,131,0,0,11.5,12.3,
2022,77,Control,Hugo,120,2803,248,2.4,1,Loblolly Pine,131,0,10,11.6,13.6,meas ht + dbh 2x
2022,77,Control,LL Conv.,32,1368,308,4.1,1,Laurel Oak,820,0,0,11.8,11,
2022,77,Control,Hugo,120,3000,201,5.2,1,Sweetgum,611,0,0,12.1,14.4,
2022,77,Control,Hugo,120,2812,341,4.9,1,Blackgum,693,1,0,12.3,12.5,broken top
2022,77,Control,Hugo,120,2809,280,10.8,1,Red Maple,316,0,10,13.1,16.5,meas dbh 2x
2022,77,Control,LL Conv.,40,2508,131,7.2,1,Loblolly Pine,131,0,5,13.2,16.7,
2022,77,Control,LL Conv.,32,1343,74,7.7,1,Laurel Oak,820,0,0,13.3,11.3,height pole placed E of hollow
2022,77,Control,LL Conv.,32,1346,95,5.8,1,Loblolly Pine,131,0,0,13.3,16.6,
2022,77,Control,LL Conv.,32,1356,197,9.4,1,Post or White Oak?,,1,0,13.3,12.9,
2022,77,Control,Hugo,120,2804,255,10.7,1,Loblolly Pine,131,0,10,13.3,12.2,
2022,77,Control,LL Conv.,40,2510,230,7.5,1,Loblolly Pine,131,0,0,13.6,13.1,
2022,77,Control,LL Conv.,32,1345,90,11.2,1,Red Maple,316,0,5,14.1,14.3,meas dbh below swell @ 3.7ft AGS
2022,77,Control,LL Conv.,32,1366,295,9.2,1,Laurel Oak,820,0,0,14.7,12.3,
2022,77,Control,Hugo,120,2998,170,0.5,1,Loblolly Pine,131,0,15,14.7,14.1,
2022,77,Control,LL Conv.,32,1353,180,10,1,? Oak,,0,0,15.7,14.2,
2022,77,Control,LL Conv.,32,1337,4,8.4,1,Red Maple,316,0,10,16.1,13,
2022,77,Control,LL Conv.,43,1334,281,8.9,1,? Oak,,0,10,16.1,10.3,
2022,77,Control,LL Conv.,43,1330,144,6.1,1,Water Oak,827,2,0,16.7,7.2,broken top
2022,77,Control,LL Conv.,43,1323,3,9.2,1,Water Oak,827,1,0,16.9,11.1,broken top; new terminal branch
2022,77,Control,LL Conv.,32,1352,156,9.9,1,? Oak,,0,0,17.9,15.6,
2022,77,Control,LL Conv.,32,1361,241,10.2,1,Post or White Oak?,,0,0,17.9,11.8,
2022,77,Control,LL Conv.,43,1324,10,5.3,1,Blackgum?,,1,0,18.5,9.7,broken top; new terminal branch
2022,77,Control,LL Conv.,40,2514,253,2.5,1,Up. Blackgum,693,0,0,18.6,14.9,
2022,77,Control,LL Conv.,40,2517,340,2.7,1,Loblolly Pine,131,0,0,18.6,17.5,
2022,77,Control,LL Conv.,32,1347,96,7.1,1,Loblolly Pine,131,0,0,18.8,18.6,
2022,77,Control,Hugo,120,2810,284,10.5,1,Blackgum,693,0,0,19.1,17.1,
2022,77,Control,LL Conv.,43,1333,226,2.1,1,Post Oak,835,0,5,19.2,9.9,
2022,77,Control,Hugo,120,2992,116,10.5,1,Loblolly Pine,131,0,20,19.8,18.8,
2022,77,Control,LL Conv.,32,1363,269,10.6,1,Loblolly Pine,131,0,0,20,19.3,
2022,77,Control,Hugo,120,2802,209,7.1,1,Willow Oak,831,0,15,20.1,15.2,
2022,77,Control,Hugo,120,2995,146,8.7,1,Post Oak ,835,2,30,20.3,11.8,meas ht 2x; broken top
2022,77,Control,Hugo,120,2991,94,9.2,1,Post Oak Hybrid,835,0,0,20.5,13.8,
2022,77,Control,LL Conv.,32,1349,121,8.6,1,Water Oak?,,0,5,20.6,19.5,meas dbh 2in above knot
2022,77,Control,Hugo,120,2813,349,7.2,1,Blackgum,693,0,0,20.8,15.7,meas ht 2x
2022,77,Control,Hugo,120,2807,266,7.5,1,Loblolly Pine,131,1,0,21.6,19.1,broken top
2022,77,Control,LL Conv.,32,1360,240,8.2,1,White Oak?,,0,0,22,12.9,significant bole damage on N side
2022,77,Control,Hugo,120,2994,143,9.1,1,Blackgum,693,0,0,22.5,17,
2022,77,Control,Hugo,120,2996,149,7.6,1,Sweetgum,611,0,0,23,21.7,
2022,77,Control,LL Conv.,43,1325,16,9.2,1,? Oak,,0,0,23.1,15.8,dbh @ top of knot; meas ht 2x
2022,77,Control,LL Conv.,40,2509,228,8.3,1,Loblolly Pine,131,1,0,23.3,19.6,broken top
2022,77,Control,LL Conv.,32,1354,190,10.6,1,Water Oak?,,0,0,23.5,15.6,
2022,77,Control,LL Conv.,40,2520,348,9.7,1,Loblolly Pine,131,0,0,23.9,20,
2022,77,Control,Hugo,120,2988,40,8.7,1,Loblolly Pine,131,0,0,24.5,24.4,
2022,77,Control,LL Conv.,32,1351,154,3.9,1,White Oak?,,0,0,25.3,17.7,
2022,77,Control,LL Conv.,40,2503,96,6.1,1,Up. Blackgum,693,0,0,25.4,18.6,
2022,77,Control,LL Conv.,43,1335,289,9.6,1,? Oak,,0,0,26.9,15.6,meas ht 2x
2022,77,Control,LL Conv.,32,1336,0,6.9,1,Red Maple,316,0,0,27.1,18.6,bole damage on N side
2022,77,Control,LL Conv.,32,1359,212,7.4,1,Loblolly Pine,131,0,0,27.4,20.6,
2022,77,Control,LL Conv.,32,1364,280,7.5,1,Loblolly Pine,131,0,0,28.3,23.2,
2022,77,Control,LL Conv.,43,1327,78,4.3,1,Southern Red Oak,812,0,0,28.8,19.5,
2022,77,Control,Hugo,120,2986,24,7.1,1,Post Oak ,835,0,20,29.3,20.4,
2022,77,Control,Hugo,120,2990,78,3,1,Loblolly Pine,131,0,0,29.5,25.9,
2022,77,Control,LL Conv.,40,2501,16,10.4,1,Loblolly Pine,131,2,0,30.2,26.8,
2022,77,Control,Hugo,120,2989,69,4.4,1,Loblolly Pine,131,0,0,30.4,23.6,
2022,77,Control,Hugo,120,2999,248,0.6,1,Loblolly Pine,131,0,0,30.4,25,
2022,77,Control,LL Conv.,43,1331,147,2.8,1,? Oak,,0,10,31.8,24.9,
2022,77,Control,LL Conv.,43,1332,173,4.1,1,Loblolly Pine,131,0,0,32.7,23.8,
2022,77,Control,LL Conv.,43,1329,144,8.4,1,Loblolly Pine,131,0,0,32.9,25.9,
2022,77,Control,LL Conv.,40,2513,253,2.9,1,Loblolly Pine,131,0,0,33.4,25.5,
2022,77,Control,Hugo,120,2805,260,10.8,1,Loblolly Pine,131,0,10,33.6,26,
2022,77,Control,LL Conv.,32,1340,50,7.7,1,Loblolly Pine,131,0,0,33.9,26.3,
2022,77,Control,LL Conv.,32,1369,330,8.3,1,Loblolly Pine,131,0,0,34.2,23.7,
2022,77,Control,Hugo,120,2811,329,5.3,1,Red Maple,316,0,10,36,22.4,"2"" below dbh"
2022,77,Control,Hugo,120,2801,209,6.5,1,Sweetgum,611,0,0,37.3,26.1,
2022,77,Control,LL Conv.,32,1358,202,2.8,1,Loblolly Pine,131,0,0,37.5,26.4,
2022,77,Control,LL Conv.,40,2502,82,6.2,2,Loblolly Pine,131,1,0,38.6,8.4,bark missing @ dbh; DC=2; broken top
2022,77,Control,LL Conv.,43,1328,118,10.3,1,Loblolly Pine,131,0,0,40.2,19.1,
