ws,plot,horizon,h_top,h_bottom,interval_cm,C_per,N_per,treatm,s_type,BD,year,C_Mg_ha,N_Mg_ha
77,50,0_10,0,10,10,1.892700911,0.018501449,Regeneration,Craven,1.134647442,2018,21.47548247,0.209926218
77,50,10_20,10,20,10,1.201384664,0,Regeneration,Craven,1.249346885,2018,15.00946188,0
77,50,20_30,20,30,10,1.349543333,0,Regeneration,Craven,1.394132946,2018,18.81442823,0
77,50,30_50,30,50,20,0.781181753,0,Regeneration,Craven,1.38,2018,21.56061638,0
77,50,50_75,50,75,25,0.404710829,0,Regeneration,Craven,1.38,2018,13.9625236,0
77,50,75_100,75,100,25,0.276115865,0,Regeneration,Craven,1.38,2018,9.525997343,0
77,80,0_10,0,10,10,2.8780303,0.05196492,Regeneration,Craven,0.966040091,2018,27.80292653,0.50200196
77,80,10_20,10,20,10,1.550423861,0.003920223,Regeneration,Craven,1.345759106,2018,20.86497029,0.052756758
77,80,20_30,20,30,10,0.934775829,0,Regeneration,Craven,1.480861247,2018,13.842733,0
77,80,30_50,30,50,20,0.375916123,0,Regeneration,Craven,1.38,2018,10.37528499,0
77,80,50_75,50,75,25,0.28823933,0,Regeneration,Craven,1.38,2018,9.944256885,0
77,80,75_100,75,100,25,0.681908667,0,Regeneration,Craven,1.38,2018,23.52584901,0
77,90,0_10,0,10,10,3.835650921,0.094498619,Regeneration,Wahee,1.016340316,2018,38.98326669,0.960427563
77,90,10_20,10,20,10,1.763590932,0.01894665,Regeneration,Wahee,1.45311878,2018,25.62707104,0.275317329
77,90,20_30,20,30,10,1.283497334,0.003872547,Regeneration,Wahee,1.51429101,2018,19.43588474,0.058641631
77,90,30_50,30,50,20,0.817712903,0,Regeneration,Wahee,1.38,2018,22.56887612,0
77,90,50_75,50,75,25,1.047166944,0,Regeneration,Wahee,1.38,2018,36.12725957,0
77,90,75_100,75,100,25,1.044407487,0,Regeneration,Wahee,1.38,2018,36.0320583,0
77,100,0_10,0,10,10,3.551344156,0.069449075,Regeneration,Craven,0.975660579,2018,34.64906495,0.677587247
77,100,10_20,10,20,10,0.943656623,0,Regeneration,Craven,1.396059332,2018,13.17400635,0
77,100,20_30,20,30,10,0.422981888,0,Regeneration,Craven,1.567067537,2018,6.628411854,0
77,100,30_50,30,50,20,0.293728381,0,Regeneration,Craven,1.38,2018,8.106903316,0
77,100,50_75,50,75,25,0.221310973,0,Regeneration,Craven,1.38,2018,7.635228569,0
77,100,75_100,75,100,25,0.179036448,0,Regeneration,Craven,1.38,2018,6.176757456,0
77,110,0_10,0,10,10,4.296739578,0.136407077,Regeneration,Wahee,1.110305948,2018,47.7069551,1.514535889
77,110,10_20,10,20,10,0.908878922,0,Regeneration,Wahee,1.334562848,2018,12.12956043,0
77,110,20_30,20,30,10,0.575393021,0,Regeneration,Wahee,1.581464119,2018,9.09963417,0
77,110,30_50,30,50,20,0.349386603,0,Regeneration,Wahee,1.38,2018,9.643070243,0
77,110,50_75,50,75,25,0.372863621,0,Regeneration,Wahee,1.38,2018,12.86379492,0
77,110,75_100,75,100,25,0.269592762,0,Regeneration,Wahee,1.38,2018,9.300950289,0
77,134,0_10,0,10,10,7.104755402,0.222256765,Thin,Wahee,0.992413499,2018,70.50855168,2.205706138
77,134,10_20,10,20,10,1.478423595,0.010106904,Thin,Wahee,1.25013477,2018,18.48228741,0.126349921
77,134,20_30,20,30,10,0.902582765,0.002740298,Thin,Wahee,1.278174475,2018,11.53658252,0.03502579
77,134,30_50,30,50,20,0.790383637,0,Thin,Wahee,1.38,2018,21.81458838,0
77,134,50_75,50,75,25,0.422840327,0,Thin,Wahee,1.38,2018,14.58799128,0
77,134,75_100,75,100,25,0.330693752,0,Thin,Wahee,1.38,2018,11.40893444,0
77,160,0_10,0,10,10,5.39710331,0.154163107,Group Selection,Wahee,0.659345558,2018,35.58556094,1.016467598
77,160,10_20,10,20,10,1.276642919,0.002476162,Group Selection,Wahee,1.21874378,2018,15.55900617,0.03017807
77,160,20_30,20,30,10,0.661984324,0,Group Selection,Wahee,1.438063441,2018,9.519754549,0
77,160,30_50,30,50,20,0.557819128,0,Group Selection,Wahee,1.38,2018,15.39580793,0
77,160,50_75,50,75,25,0.440618157,0,Group Selection,Wahee,1.38,2018,15.20132642,0
77,160,75_100,75,100,25,0.313149989,0,Group Selection,Wahee,1.38,2018,10.80367462,0
77,166,0_10,0,10,10,7.745807648,0.301836818,Thin,Wahee,0.947421129,2018,73.38541827,2.859665789
77,166,10_20,10,20,10,1.855644941,0.050711256,Thin,Wahee,1.224300441,2018,22.7186692,0.620858131
77,166,20_30,20,30,10,1.310144663,0.0212465,Thin,Wahee,1.283114432,2018,16.81065525,0.272616908
77,166,30_50,30,50,20,0.716338277,0.00082052,Thin,Wahee,1.38,2018,19.77093645,0.022646352
77,166,50_75,50,75,25,0.414550185,0,Thin,Wahee,1.38,2018,14.30198138,0
77,166,75_100,75,100,25,0.354513436,0,Thin,Wahee,1.38,2018,12.23071354,0
77,180,0_10,0,10,10,6.362355709,0.215550467,Group Selection,Wahee,0.714663366,2018,45.46942547,1.540460223
