treatm,s_type,date,ws,plot,s_locat,ff_layer,s_depth_cm,s_area_cm2,FF_mass_g_cm2,comments
Regeneration,Craven,7/16/2018,77,50,A,Oi,0.05,729,0.006800412,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,A,Oe+Oa,0.1,729,0.030696159,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,B,Oi,0.1,729,0.012177641,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,B,Oe+Oa,0.1,729,0.016910151,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,C,Oi,0.05,729,0.009667353,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,C,Oe+Oa,0.1,729,0.029804527,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,80,A,Oi,0.25,729,0.025154321,
Regeneration,Craven,7/16/2018,77,80,A,Oe+Oa,0.25,729,0.034372428,
Regeneration,Craven,7/16/2018,77,80,B,Oi,0.1,729,0.004372428,
Regeneration,Craven,7/16/2018,77,80,B,Oe+Oa,0.15,729,0.021793553,
Regeneration,Craven,7/16/2018,77,80,C,Oi,0.1,729,0.012849794,
Regeneration,Craven,7/16/2018,77,80,C,Oe+Oa,0.15,729,0.038419067,
Regeneration,Wahee,7/16/2018,77,90,A,Oi,0.15,729,0.014427298,
Regeneration,Wahee,7/16/2018,77,90,A,Oe+Oa,0.15,729,0.0314369,
Regeneration,Wahee,7/16/2018,77,90,B,Oi,0.1,729,0.008569959,
Regeneration,Wahee,7/16/2018,77,90,B,Oe+Oa,0.1,729,0.033960905,
Regeneration,Wahee,7/16/2018,77,90,C,Oi,0.15,729,0.013810014,
Regeneration,Wahee,7/16/2018,77,90,C,Oe+Oa,0.15,729,0.051189986,
Regeneration,Craven,7/16/2018,77,100,A,Oi,1,729,0.035497257,
Regeneration,Craven,7/16/2018,77,100,A,Oe+Oa,0.75,729,0.047417695,
Regeneration,Craven,7/16/2018,77,100,B,Oi,0.5,729,0.029749657,
Regeneration,Craven,7/16/2018,77,100,B,Oe+Oa,0.5,729,0.049091221,
Regeneration,Craven,7/16/2018,77,100,C,Oi,0.5,729,0.014399863,
Regeneration,Craven,7/16/2018,77,100,C,Oe+Oa,1,729,0.051944444,
Regeneration,Wahee,7/16/2018,77,110,A,Oi,0.1,729,0.020833333,
Regeneration,Wahee,7/16/2018,77,110,A,Oe+Oa,0.15,729,0.041697531,
Regeneration,Wahee,7/16/2018,77,110,B,Oi,0.15,729,0.011793553,
Regeneration,Wahee,7/16/2018,77,110,B,Oe+Oa,0.1,729,0.014701646,
Regeneration,Wahee,7/16/2018,77,110,C,Oi,0.1,729,0.002644033,
Regeneration,Wahee,7/16/2018,77,110,C,Oe+Oa,0.15,729,0.009324417,
Thin,Wahee,7/16/2018,77,134,A,Oi,0.5,729,0.068281893,
Thin,Wahee,7/16/2018,77,134,A,Oe+Oa,0.75,729,0.106759259,
Thin,Wahee,7/16/2018,77,134,B,Oi,0.75,729,0.055442387,
Thin,Wahee,7/16/2018,77,134,B,Oe+Oa,3,729,0.274015775,
Thin,Wahee,7/16/2018,77,134,C,Oi,0.75,729,0.056128258,
Thin,Wahee,7/16/2018,77,134,C,Oe+Oa,1.5,729,0.11101166,
Group Selection,Wahee,7/16/2018,77,160,A,Oi,0.05,729,0.002328532,
Group Selection,Wahee,7/16/2018,77,160,A,Oe+Oa,0.15,729,0.042465706,
Group Selection,Wahee,7/16/2018,77,160,B,Oi,0.25,729,0.02627915,
Group Selection,Wahee,7/16/2018,77,160,B,Oe+Oa,0.25,729,0.053713992,
Group Selection,Wahee,7/16/2018,77,160,C,Oi,0.1,729,0.019338134,
Group Selection,Wahee,7/16/2018,77,160,C,Oe+Oa,0.25,729,0.028995199,
Thin,Wahee,7/16/2018,77,166,A,Oi,0.15,729,0.026388889,
Thin,Wahee,7/16/2018,77,166,A,Oe+Oa,0.1,729,0.034783951,
Thin,Wahee,7/16/2018,77,166,B,Oi,1,729,0.034825103,
Thin,Wahee,7/16/2018,77,166,B,Oe+Oa,0.5,729,0.074687929,
Thin,Wahee,7/16/2018,77,166,C,Oi,0.5,729,0.024290123,
Thin,Wahee,7/16/2018,77,166,C,Oe+Oa,7,729,0.761186557,* 2 paper bags
Group Selection,Wahee,7/16/2018,77,180,A,Oi,0.05,729,0.00616941,
Group Selection,Wahee,7/16/2018,77,180,A,Oe+Oa,0.1,729,0.0453738,
Group Selection,Wahee,7/16/2018,77,180,B,Oi,0.05,729,0.015126886,
Group Selection,Wahee,7/16/2018,77,180,B,Oe+Oa,0.25,729,0.040847051,
Group Selection,Wahee,7/16/2018,77,180,C,Oi,0.15,729,0.034715364,
Group Selection,Wahee,7/16/2018,77,180,C,Oe+Oa,0.25,729,0.08712963,
Group Selection,Wahee,7/16/2018,77,190,A,Oi,0.05,729,0.008377915,
Group Selection,Wahee,7/16/2018,77,190,A,Oe+Oa,0.1,729,0.033110425,
Group Selection,Wahee,7/16/2018,77,190,B,Oi,0.05,729,0.012904664,
Group Selection,Wahee,7/16/2018,77,190,B,Oe+Oa,0.15,729,0.055497257,
Group Selection,Wahee,7/16/2018,77,190,C,Oi,0.1,729,0.015346365,
Group Selection,Wahee,7/16/2018,77,190,C,Oe+Oa,3,729,0.20265775,
Thin,Wahee,7/16/2018,77,195,A,Oi,0.25,729,0.010284636,
Thin,Wahee,7/16/2018,77,195,A,Oe+Oa,0.5,729,0.121464335,
Thin,Wahee,7/16/2018,77,195,B,Oi,0.15,729,0.015908779,
Thin,Wahee,7/16/2018,77,195,B,Oe+Oa,0.25,729,0.048693416,
Thin,Wahee,7/16/2018,77,195,C,Oi,0.15,729,0.028309328,
Thin,Wahee,7/16/2018,77,195,C,Oe+Oa,0.15,729,0.027952675,
Regeneration,Wahee,7/16/2018,77,230,A,Oi,0.25,729,0.022479424,
Regeneration,Wahee,7/16/2018,77,230,A,Oe+Oa,0.25,729,0.088542524,
Regeneration,Wahee,7/16/2018,77,230,B,Oi,0.25,729,0.010394376,
Regeneration,Wahee,7/16/2018,77,230,B,Oe+Oa,0.25,729,0.034811385,
Regeneration,Wahee,7/16/2018,77,230,C,Oi,0.5,729,0.02712963,
Regeneration,Wahee,7/16/2018,77,230,C,Oe+Oa,0.5,729,0.069351852,
