treatm,s_type,date,ws,plot,s_locate,s_depth_cm,s_len_cm,s_area_cm2,BD_g_cm3,comments
Regeneration,Craven,7/16/2018,77,50,A,0_10,10,8.0384,1.263653215,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,A,10_20,10,8.0384,1.170724273,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,A,20_30,8.8,8.0384,1.363589713,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,B,0_10,10,8.0384,1.038981638,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,B,10_20,10,8.0384,1.510966113,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,B,20_30,9,8.0384,1.345451555,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,C,0_10,10,8.0384,1.101307474,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,C,10_20,10,8.0384,1.066350269,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,50,C,20_30,8,8.0384,1.473357571,substituted for plot 63 with same soil type
Regeneration,Craven,7/16/2018,77,80,A,0_10,10,8.0384,0.865066431,
Regeneration,Craven,7/16/2018,77,80,A,10_20,10,8.0384,1.205681479,
Regeneration,Craven,7/16/2018,77,80,A,20_30,7.5,8.0384,1.304529923,
Regeneration,Craven,7/16/2018,77,80,B,0_10,10,8.0384,0.995938246,
Regeneration,Craven,7/16/2018,77,80,B,10_20,10,8.0384,1.416295531,
Regeneration,Craven,7/16/2018,77,80,B,20_30,10,8.0384,1.535349074,
Regeneration,Craven,7/16/2018,77,80,C,0_10,10,8.0384,1.037115595,
Regeneration,Craven,7/16/2018,77,80,C,10_20,10,8.0384,1.415300309,
Regeneration,Craven,7/16/2018,77,80,C,20_30,5.5,8.0384,1.602704744,
Regeneration,Wahee,7/16/2018,77,90,A,0_10,10,8.0384,0.903880125,
Regeneration,Wahee,7/16/2018,77,90,A,10_20,10,8.0384,1.320505324,
Regeneration,Wahee,7/16/2018,77,90,A,20_30,8,8.0384,1.556240981,
Regeneration,Wahee,7/16/2018,77,90,B,0_10,10,8.0384,1.054283191,
Regeneration,Wahee,7/16/2018,77,90,B,10_20,10,8.0384,1.646067625,
Regeneration,Wahee,7/16/2018,77,90,B,20_30,8,8.0384,1.595427884,
Regeneration,Wahee,7/16/2018,77,90,C,0_10,10,8.0384,1.090857633,
Regeneration,Wahee,7/16/2018,77,90,C,10_20,10,8.0384,1.39278339,
Regeneration,Wahee,7/16/2018,77,90,C,20_30,9,8.0384,1.391204164,
Regeneration,Craven,7/16/2018,77,100,A,0_10,10,8.0384,0.977029011,
Regeneration,Craven,7/16/2018,77,100,A,10_20,10,8.0384,1.457099672,
Regeneration,Craven,7/16/2018,77,100,A,20_30,10,8.0384,1.640220691,
Regeneration,Craven,7/16/2018,77,100,B,0_10,10,8.0384,0.98349796,
Regeneration,Craven,7/16/2018,77,100,B,10_20,10,8.0384,1.283060062,
Regeneration,Craven,7/16/2018,77,100,B,20_30,8.5,8.0384,1.412301834,
Regeneration,Craven,7/16/2018,77,100,C,0_10,10,8.0384,0.966454767,
Regeneration,Craven,7/16/2018,77,100,C,10_20,10,8.0384,1.448018262,
Regeneration,Craven,7/16/2018,77,100,C,20_30,10,8.0384,1.648680086,
Regeneration,Wahee,7/16/2018,77,110,A,0_10,10,8.0384,0.999297124,
Regeneration,Wahee,7/16/2018,77,110,A,10_20,10,8.0384,1.385941232,
Regeneration,Wahee,7/16/2018,77,110,A,20_30,10,8.0384,1.584114998,
Regeneration,Wahee,7/16/2018,77,110,B,0_10,10,8.0384,1.102053891,
Regeneration,Wahee,7/16/2018,77,110,B,10_20,10,8.0384,1.21613132,
Regeneration,Wahee,7/16/2018,77,110,B,20_30,10,8.0384,1.653282992,
Regeneration,Wahee,7/16/2018,77,110,C,0_10,10,8.0384,1.229566829,
Regeneration,Wahee,7/16/2018,77,110,C,10_20,10,8.0384,1.401615993,
Regeneration,Wahee,7/16/2018,77,110,C,20_30,8.5,8.0384,1.506994368,
Thin,Wahee,7/16/2018,77,134,A,0_10,10,8.0384,0.999919138,
