,year,ws,plot,tree,history,species,sp_cd,dbh_cm,tr_ht_m,comments,treatment,plot_type,azimuth,dis_pl_ctr_m,cr_dam,deg_lean,plotNum,BA,biomass
0,1991,77,10,1,2,Loblolly Pine,131,38.1,11.6,,,,,,,,77_10,1140.091828,726.305789
1,1991,77,10,2,2,Loblolly Pine,131,17.5,12.5,,,,,,,,77_10,240.5281875,93.2622558
2,1991,77,10,3,1,Loblolly Pine,131,27.4,20.4,,,,,,,,77_10,589.6455252,307.271593
4,1991,77,10,5,1,Loblolly Pine,131,43.7,25.3,,,,,,,,77_10,1499.867019,1029.242692
5,1991,77,10,6,1,Loblolly Pine,131,19.8,18.6,,,,,,,,77_10,307.907496,129.652591
7,1991,77,10,8,2,Loblolly Pine,131,14.2,12.8,,,,,,,,77_10,158.3676857,53.40621366
9,1991,77,10,10,2,Loblolly Pine,131,14.2,17.4,,,,,,,,77_10,158.3676857,53.40621366
10,1991,77,10,11,2,Loblolly Pine,131,8.9,11.9,,,,,,,,77_10,62.21138852,15.52382329
16,1991,77,20,4,2,Loblolly Pine,131,14.7,17.7,,,,,,,,77_20,169.7166891,58.56774473
18,1991,77,20,6,1,Loblolly Pine,131,11.2,11.9,,,,,,,,77_20,98.52034562,28.42171838
21,1991,77,20,9,1,Loblolly Pine,131,22.6,21.3,,,,,,,,77_20,401.1499659,184.4068382
22,1991,77,20,10,1,Loblolly Pine,131,14,14.6,,,,,,,,77_20,153.93804,51.42504341
23,1991,77,20,11,1,Loblolly Pine,131,25.9,20.4,,,,,,,,77_20,526.852942,264.7727174
24,1991,77,20,12,2,Loblolly Pine,131,26.7,10.7,,,,,,,,77_20,559.9024967,286.963225
25,1991,77,20,13,1,Loblolly Pine,131,18.5,19.8,,,,,,,,77_20,268.8025214,108.1707377
27,1991,77,20,15,2,Loblolly Pine,131,10.4,8.8,,,,,,,,77_20,84.94866535,23.36599603
28,1991,77,20,16,2,Loblolly Pine,131,35.8,14.9,,,,,,,,77_20,1006.597702,618.617856
31,1991,77,20,19,2,Loblolly Pine,131,31,9.1,,,,,,,,77_20,754.767635,425.1840432
32,1991,77,20,20,2,Loblolly Pine,131,24.9,9.5,,,,,,,,77_20,486.9547153,238.5420022
33,1991,77,20,21,2,Loblolly Pine,131,8.1,9.1,,,,,,,,77_20,51.5299735,12.15291784
34,1991,77,20,22,2,Loblolly Pine,131,25.7,21.3,,,,,,,,77_20,518.7476329,259.3933606
35,1991,77,20,23,1,Loblolly Pine,131,25.9,22.9,,,,,,,,77_20,526.852942,264.7727174
36,1991,77,20,24,1,Loblolly Pine,131,30.7,23.5,,,,,,,,77_20,740.229915,414.4822713
41,1991,77,30,5,2,Loblolly Pine,131,49.3,11.3,,,,,,,,77_30,1908.902382,1388.472588
66,1991,77,50,2,2,Loblolly Pine,131,11.4,10.7,,,,,,,,77_50,102.0703453,29.78579448
67,1991,77,50,3,2,Loblolly Pine,131,25.2,7.6,,,,,,,,77_50,498.7592497,246.2369003
69,1991,77,50,5,2,Loblolly Pine,131,9.4,10.7,,,,,,,,77_50,69.39778172,17.91018903
74,1991,77,60,5,1,Loblolly Pine,131,9.4,9.5,,,,,,,,77_60,69.39778172,17.91018903
75,1991,77,60,6,1,Loblolly Pine,131,15.2,13.4,,,,,,,,77_60,181.4583917,64.03265042
76,1991,77,60,7,1,Loblolly Pine,131,9.7,9.5,,,,,,,,77_60,73.89811319,19.44948202
77,1991,77,60,8,1,Longleaf Pine,121,38.9,22.3,,,,,,,,77_60,1188.472355,766.0540918
78,1991,77,60,9,1,Loblolly Pine,131,11.4,8.8,,,,,,,,77_60,102.0703453,29.78579448
79,1991,77,60,10,1,Loblolly Pine,131,13.7,12.2,,,,,,,,77_60,147.4113813,48.54132881
80,1991,77,60,11,1,Loblolly Pine,131,22.9,17.1,,,,,,,,77_60,411.8706509,190.9881387
81,1991,77,60,12,1,Loblolly Pine,131,19.8,17.4,,,,,,,,77_60,307.907496,129.652591
82,1991,77,60,13,1,Loblolly Pine,131,10.2,11.3,,,,,,,,77_60,81.71282492,22.19973291
83,1991,77,60,14,1,Loblolly Pine,131,26.4,21,,,,,,,,77_60,547.391104,278.5150861
84,1991,77,60,15,1,Loblolly Pine,131,7.1,6.1,,,,,,,,77_60,39.59192142,8.666269168
85,1991,77,70,1,2,Loblolly Pine,131,15.8,20.7,,,,,,,,77_70,196.0667975,71.0002703
